Floor,Room_No.,Room_Name,Room_Type_No.,Room_Type_Name,Area_m2,Volume_m3,Specific_Cooling_Demand_per_m2_W_per_m2,Specific_Cooling_Demand_per_Person_W_per_Pers,Additional_Internal_Loads_W,Total_Cooling_Load_kW,Cooling_Type,Cooling_Capacity_W,Cooling_Count,Total_Cooling_kW,Specific_Heating_Demand_per_m2_W_per_m2,Total_Heating_Load_kW,Heating_Type,Heating_Capacity_W,Heating_Count,Total_Heating_kW
OG4_OKRFB,Mo4 06,WC Herren,8.0,WCs,2000.0,5300.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,6.0,HK,0.0,0.0,0.0
OG4_OKRFB,MO4 06.1,WC Herren,8.0,WCs,3000.0,9580.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,9.0,HK,150.0,1.0,15.0
OG4_OKRFB,Mw4 01/02,Treppe/Flur,17.0,Treppenhäuser/Magistrale,41000.0,122920.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,103.0,HK,1.03,1.0,103.0
OG4_OKRFB,Mw4 03,Installationsschacht,18.0,Schächte,3000.0,9280.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG4_OKRFB,Mw4 04,ELT,14.0,ELT-Schacht,3000.0,8750.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG5_OKRFB,D5 01a/b/c,Post/Teeküche/Kopierer,1.0,Flex-/ Co-Work/,15000.0,43700.0,50.0,0.0,0.0,0.0,750,1.0,75.0,0.0,40.0,60.0,H-K-Segel,600.0,1.0,60.0
OG5_OKRFB,D5 02,Seminarraum,20.0,Serminarraum,61000.0,182090.0,50.0,0.0,0.0,0.0,"3,050",1.0,305.0,0.0,40.0,244.0,H-K-Segel,2.44,1.0,244.0
OG5_OKRFB,D5 06,Seminarraum,20.0,Serminarraum,61000.0,182090.0,50.0,0.0,0.0,0.0,"3,050",1.0,305.0,0.0,40.0,244.0,H-K-Segel,2.44,1.0,244.0
OG5_OKRFB,D5 10,Seminarraum,20.0,Serminarraum,60000.0,180660.0,50.0,0.0,0.0,0.0,"3,000",1.0,300.0,0.0,40.0,240.0,H-K-Segel,2.4,1.0,240.0
OG5_OKRFB,D5 17,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,9000.0,26240.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
